Chname,Followers,Views,VDO,Revenues
WorkpointOfficial,35700000,32660814406,59207,2939473296.54
Ch3Thailand,30500000,23857606493,86508,2147184584.3700001
one31,32900000,26029959528,120159,2342696357.52
Ch7HD,14100000,10606405238,42690,954576471.42
TV5HD ONLINE,128000,15275907,23902,1374831.63
AMARINTV : อมรินทร์ทีวี,14500000,10026009583,112757,902340862.47
9 MCOT Official,2580000,990286864,22014,89125817.75999999
NewsNBT THAILAND,296000,71383456,156645,6424511.040000001
Thai PBS,5800000,2264792634,94982,203831337.06
PPTV HD 36,4480000,1571919577,74320,141472761.93
Mono29,658000,158279089,11934,14245118.01
ช่อง8 : Thai Ch8,13500000,3644425102,14628,327998259.18
TNN Online,4030000,2453886922,173310,220849822.98
Nation online,3470000,701119757,6501,63100778.129999995
GMM25Thailand,13100000,8332540799,47262,749928671.91
NEW18,1250000,435014766,48928,39151328.94
True4U,2960000,93373376,12953,8403603.84
Thairath Online,13400000,10499511321,194282,944956018.89
zbing z.,15700000,7760704495,2586,698463404.55
Kaykai Salaider,15600000,4107659396,389,369689345.64000005
Bie The Ska,13500000,4259339767,1273,383340579.03
My Mate Nate,11600000,2676041279,1073,240843715.11
RUOK FF,9730000,587016367,117,52831473.029999994
ครูนกเล็ก,9090000,7317186157,3057,658546754.13
UDiEX2,8830000,1337884427,871,120409598.42999999
SpriteDer SPD,8660000,889882811,121,80089452.99
Mark Wiens,8480000,1949664962,1209,175469846.58
HeHaa TV,8350000,3152857433,919,283757168.97
CGGG,8050000,1019239057,813,91731515.13
PojzPlaza,8020000,2007897133,1813,180710741.97
ค่ายเพลง ได้หมดถ้าสดชื่น,7900000,2196959696,419,197726372.64
HEARTROCKER,7670000,2625449857,2056,236290487.13
Kyutae Oppa,7610000,1369771988,861,123279478.91999999
PEACH EAT LAEK,7580000,1278365909,531,115052931.81
YimYam TV,7330000,8011912768,2394,721072149.12
Brianna's Secret Club TH,7100000,3541671699,1938,318750452.91
TAE,7040000,1660483483,2095,149443513.47
ZENSE Entertainment,7040000,4287462508,15903,385871625.72
The Inner Studio,6930000,1647856793,1351,148307111.37
VRZOchannel,6910000,2350692668,1481,211562340.12
MNJ TV,6890000,1012792647,1068,91151338.23
Beam Copphone,6820000,11251832590,2399,1012664933.1
TV Thunder Official,6680000,3764321856,14678,338788967.04
LowGrade,6490000,1190785850,1345,107170726.50000001
MR.B,6360000,905308679,373,81477781.11
TopSib Thailand,6300000,1675171571,1098,150765441.39
Lovely Family TV,6170000,3352297167,1349,301706745.03
กระต่าย พรรณนิภา OFFICIAL,6160000,2533595654,371,228023608.86
108Life,6000000,1285099013,1641,115658911.17
KidsMeSong [เพลงเด็ก วิดีโอเด็ก],5870000,2984933243,476,268643991.87
แจ๊ส สปุ๊กนิค ปาปิยอง กุ๊กกุ๊ก,5830000,1155159964,284,103964396.75999999
SkizzTV,5810000,1787319596,2195,160858763.64
Illslick thelegandary,5760000,3290839492,114,296175554.28000003
PRIMKUNG,5690000,1298978537,1282,116908068.33
Epic Time,5460000,1582749144,679,142447422.96
My Pony,5420000,2299352299,816,206941706.91
พิมรี่พาย,5370000,659216441,298,59329479.69
Fun Family,5220000,1898842010,748,170895780.9
Chickypie,5150000,1751309598,1216,157617863.82
MonDEV,5070000,1041924768,1166,93773229.12
Ananped,5020000,681149173,635,61303425.56999999
ohana clip,5000000,1279915498,781,115192394.82
อาจารย์ยอด,4960000,2306538998,8172,207588509.82000002
Happy Channel,4890000,2432173156,2968,218895584.04
พอดีม่วน STUDIO,4870000,1848541173,272,166368705.57
Aoffy Maxim,4810000,1336316334,392,120268470.06
Kamsing Family Channel,4780000,908609161,760,81774824.49
Dek Jew Chill Out,4710000,3877450382,4448,348970534.38
OKyouLIKEs,4690000,637620431,493,57385838.79
กาย หงิด,4490000,1269895414,820,114290587.26
YOUNGOHM,4430000,1849268287,59,166434145.83
DJ.DREAMERTH,4380000,442973511,1179,39867615.99
